Provincia,Casos Sospechosos,Incidencia Acumulada,Defunciones Nuevas,Condicion,Numero,Year
Extranjera,0,0.0,0,colera,18,2018
Hato Mayor,0,0.0,0,colera,18,2018
Hermanas Mirabal,0,0.0,0,colera,18,2018
Independencia,0,0.0,0,colera,18,2018
La Altagracia,0,1.75,0,colera,18,2018
La Romana,0,0.0,0,colera,18,2018
La Vega,0,3.55,0,colera,18,2018
María Trinidad Sánchez,0,0.0,0,colera,18,2018
Monseñor Nouel,0,0.0,0,colera,18,2018
Monte Cristi,0,0.0,0,colera,18,2018
Monte Plata,0,0.0,0,colera,18,2018
Pedernales,0,0.0,0,colera,18,2018
Peravia,0,2.98,0,colera,18,2018
Puerto Plata,0,0.0,0,colera,18,2018
Samaná,0,0.0,0,colera,18,2018
San Cristóbal,0,0.93,0,colera,18,2018
San José de Ocoa,0,0.0,0,colera,18,2018
San Juan,0,0.0,0,colera,18,2018
San Pedro de Macorís,0,0.96,0,colera,18,2018
Santiago,0,0.0,0,colera,18,2018
Santiago Rodríguez,0,0.0,0,colera,18,2018
Santo Domingo,0,0.21,0,colera,18,2018
Sánchez Ramírez,0,0.0,0,colera,18,2018
Valverde,0,0.0,0,colera,18,2018
Azua,0,1.18,0,colera,20,2018
Baoruco,0,0.0,0,colera,20,2018
Barahona,0,0.0,0,colera,20,2018
Dajabón,0,0.0,0,colera,20,2018
Distrito Nacional,0,0.25,0,colera,20,2018
Duarte,0,0.0,0,colera,20,2018
El Seibo,0,0.0,0,colera,20,2018
Elías Piña,0,0.0,0,colera,20,2018
Espaillat,0,1.09,0,colera,20,2018
Extranjera,0,0.0,0,colera,20,2018
Hato Mayor,0,0.0,0,colera,20,2018
Hermanas Mirabal,0,0.0,0,colera,20,2018
Independencia,0,0.0,0,colera,20,2018
La Altagracia,0,1.57,0,colera,20,2018
La Romana,0,0.0,0,colera,20,2018
La Vega,0,3.19,0,colera,20,2018
María Trinidad Sánchez,0,0.0,0,colera,20,2018
Monseñor Nouel,0,0.0,0,colera,20,2018
Monte Cristi,0,0.0,0,colera,20,2018
Monte Plata,0,0.0,0,colera,20,2018
Pedernales,1,7.63,0,colera,20,2018
Peravia,0,2.68,0,colera,20,2018
Puerto Plata,0,0.0,0,colera,20,2018
Samaná,0,0.0,0,colera,20,2018
San Cristóbal,0,0.84,0,colera,20,2018
San José de Ocoa,0,0.0,0,colera,20,2018
San Juan,0,0.0,0,colera,20,2018
San Pedro de Macorís,0,0.86,0,colera,20,2018
Santiago,0,0.0,0,colera,20,2018
Santiago Rodríguez,0,0.0,0,colera,20,2018
Santo Domingo,0,0.19,0,colera,20,2018
Sánchez Ramírez,0,0.0,0,colera,20,2018
Valverde,0,0.0,0,colera,20,2018
Azua,0,1.12,0,colera,21,2018
Baoruco,0,0.0,0,colera,21,2018
Barahona,0,0.0,0,colera,21,2018
Dajabón,0,0.0,0,colera,21,2018
Distrito Nacional,0,0.24,0,colera,21,2018
