Provincia,Casos Probables,Incidencia Acumulada,Defunciones Nuevas,Condicion,Numero,Year
Hermanas Mirabal,0,30.7,0,dengue,11,2018
Independencia,2,25.0,0,dengue,11,2018
La Altagracia,1,5.7,0,dengue,11,2018
La Romana,0,3.6,0,dengue,11,2018
La Vega,3,11.6,0,dengue,11,2018
María Trinidad Sánchez,0,10.0,0,dengue,11,2018
Monseñor Nouel,1,22.0,0,dengue,11,2018
Monte Cristi,3,36.9,0,dengue,11,2018
Monte Plata,0,10.0,0,dengue,11,2018
Pedernales,1,13.9,0,dengue,11,2018
Peravia,0,0.0,0,dengue,11,2018
Puerto Plata,0,2.9,0,dengue,11,2018
Samaná,2,21.6,0,dengue,11,2018
San Cristóbal,0,2.3,0,dengue,11,2018
San José de Ocoa,0,8.4,0,dengue,11,2018
San Juan,4,16.8,0,dengue,11,2018
San Pedro de Macorís,0,15.7,0,dengue,11,2018
Santiago,4,25.9,0,dengue,11,2018
Santiago Rodríguez,1,8.2,0,dengue,11,2018
Santo Domingo,8,7.4,0,dengue,11,2018
Sánchez Ramírez,0,12.4,0,dengue,11,2018
Valverde,6,65.6,0,dengue,11,2018
Azua,1,9.1,0,dengue,13,2018
Baoruco,0,0.0,0,dengue,13,2018
Barahona,3,23.3,0,dengue,13,2018
Dajabón,0,6.1,0,dengue,13,2018
Distrito Nacional,1,5.5,0,dengue,13,2018
Duarte,0,22.9,0,dengue,13,2018
El Seibo,0,4.4,0,dengue,13,2018
Elías Piña,0,12.6,0,dengue,13,2018
Espaillat,0,28.6,0,dengue,13,2018
Extranjera,0,0.0,0,dengue,13,2018
Hato Mayor,0,4.7,0,dengue,13,2018
Hermanas Mirabal,0,30.3,0,dengue,13,2018
Independencia,0,21.1,0,dengue,13,2018
La Altagracia,1,7.3,0,dengue,13,2018
La Romana,0,3.0,0,dengue,13,2018
La Vega,0,12.8,0,dengue,13,2018
María Trinidad Sánchez,0,8.5,0,dengue,13,2018
Monseñor Nouel,0,18.6,0,dengue,13,2018
Monte Cristi,0,31.2,0,dengue,13,2018
Monte Plata,0,8.4,0,dengue,13,2018
Pedernales,0,11.7,0,dengue,13,2018
Peravia,0,0.0,0,dengue,13,2018
Puerto Plata,0,3.6,0,dengue,13,2018
Samaná,4,33.0,0,dengue,13,2018
San Cristóbal,2,4.5,0,dengue,13,2018
San José de Ocoa,0,7.1,0,dengue,13,2018
San Juan,1,16.0,0,dengue,13,2018
San Pedro de Macorís,0,13.3,0,dengue,13,2018
Santiago,3,24.2,0,dengue,13,2018
Santiago Rodríguez,0,7.0,0,dengue,13,2018
Santo Domingo,1,7.4,0,dengue,13,2018
Sánchez Ramírez,0,10.5,0,dengue,13,2018
Valverde,0,57.8,0,dengue,13,2018
Azua,0,8.4,0,dengue,14,2018
Baoruco,0,0.0,0,dengue,14,2018
Barahona,1,23.6,0,dengue,14,2018
Dajabón,0,5.6,0,dengue,14,2018
Distrito Nacional,3,6.5,0,dengue,14,2018
Duarte,0,21.3,0,dengue,14,2018
El Seibo,0,4.0,0,dengue,14,2018
Elías Piña,0,11.7,0,dengue,14,2018
Espaillat,1,28.1,0,dengue,14,2018
Extranjera,0,0.0,0,dengue,14,2018
Hato Mayor,0,4.3,0,dengue,14,2018
Hermanas Mirabal,0,28.2,0,dengue,14,2018
Independencia,0,19.6,0,dengue,14,2018
La Altagracia,1,7.9,0,dengue,14,2018
La Romana,0,2.8,0,dengue,14,2018
La Vega,1,12.8,0,dengue,14,2018
María Trinidad Sánchez,1,10.5,0,dengue,14,2018
Monseñor Nouel,0,17.3,0,dengue,14,2018
Monte Cristi,0,29.0,0,dengue,14,2018
Monte Plata,0,7.8,0,dengue,14,2018
Pedernales,0,10.9,0,dengue,14,2018
Peravia,0,0.0,0,dengue,14,2018
Puerto Plata,0,3.4,0,dengue,14,2018
