Provincia,Casos Sospechosos,Incidencia Acumulada,Defunciones Nuevas,Condicion,Numero,Year
San José de Ocoa,0,25.3,0,leptospirosis,11,2018
San Juan,0,6.3,0,leptospirosis,11,2018
San Pedro de Macorís,0,17.3,0,leptospirosis,11,2018
Santiago,2,9.2,0,leptospirosis,11,2018
Santiago Rodríguez,0,0.0,0,leptospirosis,11,2018
Santo Domingo,3,5.5,0,leptospirosis,11,2018
Sánchez Ramírez,1,6.2,0,leptospirosis,11,2018
Valverde,1,38.3,0,leptospirosis,11,2018
Azua,0,0.0,0,leptospirosis,13,2018
Baoruco,0,4.0,0,leptospirosis,13,2018
Barahona,1,6.4,0,leptospirosis,13,2018
Dajabón,0,0.0,0,leptospirosis,13,2018
Distrito Nacional,0,3.9,0,leptospirosis,13,2018
Duarte,0,16.2,0,leptospirosis,13,2018
El Seibo,1,21.8,0,leptospirosis,13,2018
Elías Piña,0,0.0,0,leptospirosis,13,2018
Espaillat,0,8.4,0,leptospirosis,13,2018
Extranjera,0,0.0,0,leptospirosis,13,2018
Hato Mayor,0,14.0,0,leptospirosis,13,2018
Hermanas Mirabal,0,21.7,0,leptospirosis,13,2018
Independencia,0,0.0,0,leptospirosis,13,2018
La Altagracia,0,6.1,0,leptospirosis,13,2018
La Romana,0,9.1,0,leptospirosis,13,2018
La Vega,2,20.6,0,leptospirosis,13,2018
María Trinidad Sánchez,1,11.3,1,leptospirosis,13,2018
Monseñor Nouel,0,7.0,0,leptospirosis,13,2018
Monte Cristi,0,13.9,0,leptospirosis,13,2018
Monte Plata,1,8.4,0,leptospirosis,13,2018
Pedernales,0,0.0,0,leptospirosis,13,2018
Peravia,0,0.0,0,leptospirosis,13,2018
Puerto Plata,2,8.5,1,leptospirosis,13,2018
Samaná,0,22.0,0,leptospirosis,13,2018
San Cristóbal,0,2.6,0,leptospirosis,13,2018
San José de Ocoa,0,21.4,0,leptospirosis,13,2018
San Juan,0,5.3,0,leptospirosis,13,2018
San Pedro de Macorís,1,17.3,0,leptospirosis,13,2018
Santiago,0,8.2,0,leptospirosis,13,2018
Santiago Rodríguez,0,0.0,0,leptospirosis,13,2018
Santo Domingo,3,5.8,0,leptospirosis,13,2018
Sánchez Ramírez,0,7.9,0,leptospirosis,13,2018
Valverde,0,32.4,0,leptospirosis,13,2018
Azua,0,0.0,0,leptospirosis,14,2018
Baoruco,0,3.7,0,leptospirosis,14,2018
Barahona,0,5.9,0,leptospirosis,14,2018
Dajabón,0,0.0,0,leptospirosis,14,2018
Distrito Nacional,0,3.6,0,leptospirosis,14,2018
Duarte,0,15.0,0,leptospirosis,14,2018
El Seibo,0,20.2,0,leptospirosis,14,2018
Elías Piña,0,0.0,0,leptospirosis,14,2018
Espaillat,0,9.4,0,leptospirosis,14,2018
Extranjera,0,0.0,0,leptospirosis,14,2018
Hato Mayor,0,17.3,0,leptospirosis,14,2018
Hermanas Mirabal,1,24.1,0,leptospirosis,14,2018
Independencia,0,0.0,0,leptospirosis,14,2018
La Altagracia,0,5.6,0,leptospirosis,14,2018
La Romana,0,8.4,0,leptospirosis,14,2018
La Vega,0,19.2,0,leptospirosis,14,2018
María Trinidad Sánchez,0,10.5,0,leptospirosis,14,2018
Monseñor Nouel,1,8.6,0,leptospirosis,14,2018
Monte Cristi,0,12.9,0,leptospirosis,14,2018
Monte Plata,0,7.8,0,leptospirosis,14,2018
Pedernales,0,0.0,0,leptospirosis,14,2018
Peravia,0,0.0,0,leptospirosis,14,2018
Puerto Plata,0,9.0,0,leptospirosis,14,2018
Samaná,0,20.4,0,leptospirosis,14,2018
San Cristóbal,1,3.0,0,leptospirosis,14,2018
San José de Ocoa,0,19.9,0,leptospirosis,14,2018
San Juan,0,4.9,0,leptospirosis,14,2018
San Pedro de Macorís,0,16.0,0,leptospirosis,14,2018
Santiago,0,7.6,0,leptospirosis,14,2018
Santiago Rodríguez,0,0.0,0,leptospirosis,14,2018
Santo Domingo,1,5.5,0,leptospirosis,14,2018
Sánchez Ramírez,0,7.3,0,leptospirosis,14,2018
Valverde,0,30.1,0,leptospirosis,14,2018
Azua,0,0.0,0,leptospirosis,15,2018
Baoruco,0,3.5,0,leptospirosis,15,2018
Barahona,0,5.5,0,leptospirosis,15,2018
Dajabón,0,0.0,0,leptospirosis,15,2018
Distrito Nacional,0,3.4,0,leptospirosis,15,2018
Duarte,1,15.2,0,leptospirosis,15,2018
El Seibo,0,18.9,0,leptospirosis,15,2018
Elías Piña,0,0.0,0,leptospirosis,15,2018
Espaillat,0,10.2,0,leptospirosis,15,2018
Extranjera,0,0.0,0,leptospirosis,15,2018
Hato Mayor,0,16.2,0,leptospirosis,15,2018
Hermanas Mirabal,0,22.5,0,leptospirosis,15,2018
Independencia,0,0.0,0,leptospirosis,15,2018
La Altagracia,1,6.3,0,leptospirosis,15,2018
La Romana,0,7.8,0,leptospirosis,15,2018
La Vega,0,17.9,0,leptospirosis,15,2018
María Trinidad Sánchez,0,9.8,0,leptospirosis,15,2018
Monseñor Nouel,0,8.1,0,leptospirosis,15,2018
Monte Cristi,0,12.0,0,leptospirosis,15,2018
Monte Plata,0,7.3,0,leptospirosis,15,2018
Pedernales,0,0.0,0,leptospirosis,15,2018
Peravia,0,0.0,0,leptospirosis,15,2018
Puerto Plata,0,8.4,0,leptospirosis,15,2018
Samaná,0,19.0,0,leptospirosis,15,2018
San Cristóbal,0,3.9,0,leptospirosis,15,2018
San José de Ocoa,1,24.7,0,leptospirosis,15,2018
San Juan,0,4.6,0,leptospirosis,15,2018
San Pedro de Macorís,0,15.0,0,leptospirosis,15,2018
Santiago,1,7.5,0,leptospirosis,15,2018
Santiago Rodríguez,0,0.0,0,leptospirosis,15,2018
Santo Domingo,2,5.5,0,leptospirosis,15,2018
Sánchez Ramírez,0,6.8,0,leptospirosis,15,2018
Valverde,0,28.1,0,leptospirosis,15,2018
Azua,0,1.4,0,leptospirosis,17,2018
Baoruco,0,6.1,0,leptospirosis,17,2018
Barahona,0,6.5,0,leptospirosis,17,2018
Dajabón,0,0.0,0,leptospirosis,17,2018
Distrito Nacional,0,3.0,0,leptospirosis,17,2018
Duarte,0,15.5,0,leptospirosis,17,2018
El Seibo,0,16.7,0,leptospirosis,17,2018
Elías Piña,0,0.0,0,leptospirosis,17,2018
Espaillat,0,9.0,0,leptospirosis,17,2018
Extranjera,0,0.0,0,leptospirosis,17,2018
Hato Mayor,0,14.3,0,leptospirosis,17,2018
Hermanas Mirabal,0,19.9,0,leptospirosis,17,2018
Independencia,0,0.0,0,leptospirosis,17,2018
La Altagracia,0,6.5,0,leptospirosis,17,2018
La Romana,0,6.9,0,leptospirosis,17,2018
La Vega,2,18.0,0,leptospirosis,17,2018
María Trinidad Sánchez,0,8.7,0,leptospirosis,17,2018
Monseñor Nouel,0,7.1,0,leptospirosis,17,2018
Monte Cristi,0,13.3,0,leptospirosis,17,2018
Monte Plata,0,6.5,0,leptospirosis,17,2018
Pedernales,0,0.0,0,leptospirosis,17,2018
Peravia,0,0.0,0,leptospirosis,17,2018
Puerto Plata,1,9.3,0,leptospirosis,17,2018
Samaná,0,16.8,0,leptospirosis,17,2018
San Cristóbal,0,4.5,0,leptospirosis,17,2018
San José de Ocoa,0,27.3,0,leptospirosis,17,2018
San Juan,0,4.1,0,leptospirosis,17,2018
San Pedro de Macorís,0,15.2,0,leptospirosis,17,2018
Santiago,0,6.6,0,leptospirosis,17,2018
Santiago Rodríguez,1,5.3,0,leptospirosis,17,2018
Santo Domingo,1,5.4,0,leptospirosis,17,2018
Sánchez Ramírez,0,6.0,0,leptospirosis,17,2018
Valverde,2,28.3,0,leptospirosis,17,2018
Azua,0,1.3,0,leptospirosis,18,2018
Baoruco,0,5.8,0,leptospirosis,18,2018
Barahona,1,7.6,0,leptospirosis,18,2018
Dajabón,0,0.0,0,leptospirosis,18,2018
Distrito Nacional,0,2.8,0,leptospirosis,18,2018
Duarte,0,14.6,0,leptospirosis,18,2018
El Seibo,0,15.7,0,leptospirosis,18,2018
Elías Piña,0,0.0,0,leptospirosis,18,2018
Espaillat,0,8.5,0,leptospirosis,18,2018
Extranjera,0,0.0,0,leptospirosis,18,2018
Hato Mayor,0,13.5,0,leptospirosis,18,2018
Hermanas Mirabal,0,18.8,0,leptospirosis,18,2018
Independencia,0,0.0,0,leptospirosis,18,2018
La Altagracia,0,6.1,0,leptospirosis,18,2018
